YEAR,STATE,RATE,DEATHS,URL
2021,AL,152.8,9491,/nchs/pressroom/states/alabama/al.htm
2021,AK,109.5,763,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,139.5,12706,/nchs/pressroom/states/arizona/az.htm
2021,AR,127.7,4739,/nchs/pressroom/states/arkansas/ar.htm
2021,CA,99.9,44540,/nchs/pressroom/states/california/ca.htm
2021,CO,84.2,5299,/nchs/pressroom/states/colorado/co.htm
2021,CT,56.7,2722,/nchs/pressroom/states/connecticut/ct.htm
2021,DE,83.2,1113,/nchs/pressroom/states/delaware/de.htm
2021,FL,111.7,34557,/nchs/pressroom/states/florida/fl.htm
2021,GA,135.9,15834,/nchs/pressroom/states/georgia/ga.htm
2021,HI,36.5,688,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,112.3,2407,/nchs/pressroom/states/idaho/id.htm
2021,IL,73.4,11298,/nchs/pressroom/states/illinois/il.htm
2021,IN,106.8,8564,/nchs/pressroom/states/indiana/in.htm
2021,IA,75.9,3098,/nchs/pressroom/states/iowa/ia.htm
2021,KS,103.1,3623,/nchs/pressroom/states/kansas/ks.htm
2021,KY,136.7,7459,/nchs/pressroom/states/kentucky/ky.htm
2021,LA,116.9,6329,/nchs/pressroom/states/louisiana/la.htm
2021,ME,66.2,1331,/nchs/pressroom/states/maine/me.htm
2021,MD,71.2,5256,/nchs/pressroom/states/maryland/md.htm
2021,MA,54.6,4866,/nchs/pressroom/states/massachusetts/ma.htm
2021,MI,107.1,13637,/nchs/pressroom/states/michigan/mi.htm
2021,MN,64.1,4442,/nchs/pressroom/states/minnesota/mn.htm
2021,MS,146.3,5082,/nchs/pressroom/states/mississippi/ms.htm
2021,MO,100.5,7760,/nchs/pressroom/states/missouri/mo.htm
2021,MT,108.8,1576,/nchs/pressroom/states/montana/mt.htm
2021,NE,69,1594,/nchs/pressroom/states/nebraska/ne.htm
2021,NV,141.6,5149,/nchs/pressroom/states/nevada/nv.htm
2021,NH,60.2,1112,/nchs/pressroom/states/newhampshire/nh.htm
2021,NJ,71.9,8423,/nchs/pressroom/states/newjersey/nj.htm
2021,NM,136.3,3502,/nchs/pressroom/states/newmexico/nm.htm
2021,NY,83.9,21675,/nchs/pressroom/states/newyork/ny.htm
2021,NC,107.5,13611,/nchs/pressroom/states/northcarolina/nc.htm
2021,ND,70.9,638,/nchs/pressroom/states/northdakota/nd.htm
2021,OH,122.8,18285,/nchs/pressroom/states/ohio/oh.htm
2021,OK,158.8,7279,/nchs/pressroom/states/oklahoma/ok.htm
2021,OR,69.2,3681,/nchs/pressroom/states/oregon/or.htm
2021,PA,102.5,18169,/nchs/pressroom/states/pennsylvania/pa.htm
2021,RI,66.4,979,/nchs/pressroom/states/rhodeisland/ri.htm
2021,SC,139.2,9088,/nchs/pressroom/states/southcarolina/sc.htm
2021,SD,71.2,776,/nchs/pressroom/states/southdakota/sd.htm
2021,TN,142.5,11911,/nchs/pressroom/states/tennessee/tn.htm
2021,TX,151.4,44516,/nchs/pressroom/states/texas/tx.htm
2021,UT,78.2,2252,/nchs/pressroom/states/utah/ut.htm
2021,VT,29.5,261,/nchs/pressroom/states/vermont/vt.htm
2021,VA,88.5,8990,/nchs/pressroom/states/virginia/va.htm
2021,WA,61.5,5451,/nchs/pressroom/states/washington/wa.htm
2021,WV,146.8,3619,/nchs/pressroom/states/westvirginia/wv.htm
2021,WI,71.1,5262,/nchs/pressroom/states/wisconsin/wi.htm
2021,WY,143.4,1026,/nchs/pressroom/states/wyoming/wy.htm
2020,AL,103.6,6544,/nchs/pressroom/states/alabama/al.htm
2020,AK,35.7,230,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,87.6,8447,/nchs/pressroom/states/arizona/az.htm
2020,AR,90.2,3523,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,68.7,31335,/nchs/pressroom/states/california/ca.htm
2020,CO,69.6,4315,/nchs/pressroom/states/colorado/co.htm
2020,CT,112.3,5782,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,73.4,1008,/nchs/pressroom/states/delaware/de.htm
2020,FL,56.4,19231,/nchs/pressroom/states/florida/fl.htm
2020,GA,81.7,9453,/nchs/pressroom/states/georgia/ga.htm
2020,HI,16.8,342,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,63.9,1358,/nchs/pressroom/states/idaho/id.htm
2020,IL,99.2,15735,/nchs/pressroom/states/illinois/il.htm
2020,IN,103.2,8527,/nchs/pressroom/states/indiana/in.htm
2020,IA,99,4336,/nchs/pressroom/states/iowa/ia.htm
2020,KS,90.5,3344,/nchs/pressroom/states/kansas/ks.htm
2020,KY,74.2,4132,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,118,6533,/nchs/pressroom/states/louisiana/la.htm
2020,ME,20.2,420,/nchs/pressroom/states/maine/me.htm
2020,MD,80.9,6000,/nchs/pressroom/states/maryland/md.htm
2020,MA,100.2,9319,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,85.9,11391,/nchs/pressroom/states/michigan/mi.htm
2020,MN,71.9,5215,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,123.5,4466,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,87.1,7137,/nchs/pressroom/states/missouri/mo.htm
2020,MT,75.5,1119,/nchs/pressroom/states/montana/mt.htm
2020,NE,84.4,2043,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,88.4,3238,/nchs/pressroom/states/nevada/nv.htm
2020,NH,40.9,779,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,141.6,16497,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,106.2,2841,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,139.1,35736,/nchs/pressroom/states/newyork/ny.htm
2020,NC,60.4,7892,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,121.9,1210,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,87.3,13605,/nchs/pressroom/states/ohio/oh.htm
2020,OK,100.3,4847,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,26,1434,/nchs/pressroom/states/oregon/or.htm
2020,PA,88.1,16609,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,104.3,1585,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,77.7,5277,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,127,1496,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,80.3,6838,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,105.2,30840,/nchs/pressroom/states/texas/tx.htm
2020,UT,48.6,1365,/nchs/pressroom/states/utah/ut.htm
2020,VT,16,144,/nchs/pressroom/states/vermont/vt.htm
2020,VA,56.3,5821,/nchs/pressroom/states/virginia/va.htm
2020,WA,36.7,3284,/nchs/pressroom/states/washington/wa.htm
2020,WV,56.2,1483,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,70.2,5432,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,63.1,462,/nchs/pressroom/states/wyoming/wy.htm