States,"DEATHS, 2020",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Bachelor's degree or higher,population,sum education,covid/pop,high school/pop,some college/pop,associate/pop,bach/pop,grad/pop
Alabama,6544,1079285,705662,303028,572276,374490,946766,5074296,3981507,0.001289637,0.2126965,0.139065991,0.059718235,0.112779389,0.073801371
Alaska,230,135473,118250,40276,101422,57868,159290,733583,612579,0.00031353,0.184673036,0.16119512,0.054903126,0.138255658,0.078884053
Arizona,8447,1168057,1180491,467305,985673,629408,1615081,7359197,6046015,0.001147815,0.158720714,0.1604103,0.063499455,0.133937575,0.085526723
Arkansas,3523,695062,435235,161542,324137,190897,515034,3045637,2321907,0.001156737,0.228215641,0.142904424,0.053040464,0.106426669,0.062678842
California,31335,5578997,5287901,2120275,5958030,3779787,9737817,39029342,32462807,0.000802858,0.14294366,0.135485272,0.054325154,0.152655149,0.096844753
Colorado,4315,814373,793438,334157,1107309,688931,1796240,5839926,5534448,0.000738879,0.139449199,0.135864393,0.057219389,0.189610108,0.117969132
Connecticut,5782,646776,406668,188070,587690,479981,1067671,3626205,3376856,0.001594504,0.178361676,0.112146997,0.051864139,0.162067506,0.132364552
Delaware,1008,201366,128883,66097,146295,106997,253292,1018396,902930,0.000989792,0.197728585,0.126554896,0.064903044,0.143652371,0.105064238
Florida,19231,4363466,2980763,1582504,3248221,1978625,5226846,22244823,19380425,0.000864516,0.196156472,0.133998054,0.071140328,0.146021436,0.088947662
Georgia,9453,1930376,1391372,609570,1514014,991062,2505076,10912876,8941470,0.000866224,0.176889758,0.127498196,0.055857869,0.13873648,0.09081584
Hawaii,342,269095,206891,112809,226849,133832,360681,1440196,1310157,0.000237468,0.186846096,0.143654753,0.078328922,0.157512589,0.092926241
Idaho,1358,338282,296583,126524,253762,132502,386264,1939033,1533917,0.000700349,0.174459125,0.152954076,0.065251081,0.130870387,0.068334061
Illinois,15735,2194993,1707785,727336,1932282,1310297,3242579,12582032,11115272,0.001250593,0.174454571,0.13573205,0.057807515,0.153574717,0.104140333
Indiana,8527,1517996,883706,414408,843069,473718,1316787,6833037,5449684,0.001247908,0.22215539,0.129328438,0.060647703,0.123381302,0.069327592
Iowa,4336,646672,439725,255456,441878,210864,652742,3200517,2647337,0.001354781,0.202052356,0.137391865,0.079817105,0.138064569,0.065884356
Kansas,3344,493645,436039,167575,427464,259988,687452,2937150,2472163,0.001138519,0.168069387,0.148456497,0.057053606,0.145537,0.0885171
Kentucky,4132,1007954,594071,275708,488546,341868,830414,4512310,3538561,0.000915717,0.223378713,0.131655626,0.061101298,0.1082696,0.075763412
Louisiana,6533,1023442,642841,211237,523475,300894,824369,4590241,3526258,0.001423237,0.222960407,0.140045152,0.046018717,0.114040853,0.065550807
Maine,420,300595,186486,107147,224987,140318,365305,1385340,1324838,0.000303175,0.216982835,0.134613885,0.077343468,0.162405619,0.101287771
Maryland,6000,1019047,760351,294842,956533,861669,1818202,6164660,5710644,0.00097329,0.165304656,0.123340298,0.04782778,0.155163951,0.139775592
Massachusetts,9319,1124134,694438,376568,1250748,1049675,2300423,6981974,6795986,0.001334723,0.161005183,0.099461556,0.053934317,0.179139596,0.15034072
Michigan,11391,2003265,1519839,680323,1338162,870008,2208170,10034113,8619767,0.001135227,0.199645449,0.1514672,0.06780101,0.133361265,0.086705023
Minnesota,5215,909518,784209,459742,993883,522543,1516426,5717184,5186321,0.000912162,0.159084962,0.137167004,0.080414064,0.173841353,0.091398668
Mississippi,4466,586187,428485,199843,303656,184007,487663,2940057,2189841,0.001519018,0.199379468,0.145740372,0.067972492,0.103282351,0.062586202
Missouri,7137,1303894,875875,350837,823215,517428,1340643,6177957,5211892,0.001155236,0.211055856,0.141774214,0.056788514,0.133250361,0.083753901
Montana,1119,205527,181671,69432,171377,95443,266820,1122867,990270,0.000996556,0.183037706,0.161792091,0.061834572,0.152624487,0.084999381
Nebraska,2043,325200,281018,139742,286510,158751,445261,1967923,1636482,0.00103815,0.165250368,0.142799286,0.071009892,0.145590046,0.080669315
Nevada,3238,597385,512526,196636,393208,211418,604626,3177772,2515799,0.001018953,0.187988629,0.161284699,0.061878574,0.123737008,0.066530261
New Hampshire,779,267904,179257,99262,247356,158459,405815,1395231,1358053,0.00055833,0.192014082,0.128478367,0.071143775,0.177286772,0.113571874
New Jersey,16497,1649422,996422,454004,1664353,1126293,2790646,9261699,8681140,0.001781207,0.178090651,0.107585228,0.049019516,0.179702774,0.121607601
New Mexico,2841,372497,328792,131736,231745,204185,435930,2113344,1704885,0.001344315,0.17625952,0.155579025,0.062335332,0.109657964,0.09661702
New York,35736,3409426,2081639,1238762,3105839,2477848,5583687,19677151,17897201,0.001816117,0.173268274,0.105789654,0.062954337,0.157839872,0.12592514
North Carolina,7892,1802594,1436943,729951,1573681,955976,2529657,10698973,9028802,0.000737641,0.1684829,0.134306629,0.068226268,0.147087108,0.089352128
North Dakota,1210,133316,106798,73471,113314,47533,160847,779261,635279,0.001552753,0.171080036,0.137050359,0.094282917,0.145412128,0.060997535
Ohio,13605,2664759,1561547,727443,1536624,957286,2493910,11756058,9941569,0.001157276,0.226671134,0.132829134,0.06187814,0.13070912,0.081429166
Oklahoma,4847,811661,578915,214116,483168,254015,737183,4019800,3079058,0.001205781,0.201915767,0.144015871,0.053265337,0.120197025,0.063190955
Oregon,1434,664591,746945,271776,680306,420755,1101061,4240137,3885434,0.000338197,0.156738096,0.176160582,0.064096042,0.160444344,0.099231464
Pennsylvania,16609,3047979,1394271,811426,1887722,1277263,3164985,12972008,11583646,0.001280372,0.234965859,0.107483051,0.062552074,0.145522729,0.098463014
Rhode Island,1585,214431,130496,62195,161594,120732,282326,1093734,971774,0.001449164,0.196054068,0.119312374,0.056864832,0.147745247,0.110385158
South Carolina,5277,1026970,693591,369204,704740,429896,1134636,5282634,4359037,0.000998933,0.194404912,0.131296433,0.069890134,0.133406933,0.0813791
South Dakota,1496,172971,118503,70944,127258,59688,186946,909824,736310,0.001644274,0.190114791,0.130248268,0.077975521,0.139871008,0.065603897
Tennessee,6838,1502435,977239,373330,924404,543077,1467481,7051339,5787966,0.000969745,0.213070879,0.138589139,0.052944554,0.131096236,0.077017571
Texas,30840,4723476,3876378,1449493,4077821,2288616,6366437,30029572,22782221,0.001026988,0.15729415,0.129085356,0.048268853,0.13579351,0.076212075
Utah,1365,445010,497176,191196,484882,255215,740097,3380800,2613576,0.000403751,0.131628609,0.147058684,0.056553478,0.143422267,0.075489529
Vermont,144,121159,72908,37790,120373,85248,205621,647064,643099,0.000222544,0.187244229,0.112675099,0.05840226,0.186029512,0.131745855
Virginia,5821,1420599,1069241,456400,1394875,1089585,2484460,8683619,7915160,0.000670343,0.163595271,0.123133108,0.052558732,0.160632911,0.12547591
Washington,3284,1168676,1169775,544731,1287465,817197,2104662,7785786,7092506,0.000421794,0.150103792,0.150244946,0.069964805,0.165360954,0.104960116
West Virginia,1483,495311,222751,100721,179376,125812,305188,1775156,1429159,0.00083542,0.279023928,0.125482493,0.056739239,0.101048021,0.070873771
Wisconsin,5432,1222356,794316,461115,876467,450011,1326478,5892539,5130743,0.000921844,0.207441308,0.134800296,0.078254043,0.148741824,0.076369626
Wyoming,462,107814,97615,48945,73255,42363,115618,581381,485610,0.00079466,0.185444657,0.167901944,0.084187478,0.12600171,0.072866158
